codigo,x_antigo,y_antigo,x_corrigido,y_corrigido,latitude,longitude,x_alterado,y_alterado
FHV-M-0162,6505898882,71920694339,650589.8882,7192069.4339,-25.38055631169197,-49.50314160924186,Sim,Sim
FHV-M-0163,6507064918,71920637139,650706.4918,7192063.7139,-25.380596154411734,-49.5019822499446,Sim,Sim
FHV-M-0165,6507365721,71919841325,650736.5721,7191984.1325,-25.381311533370152,-49.50167446723427,Sim,Sim
FHV-M-0181,6505141629,71915734278,650514.1629,7191573.4278,-25.38504167782707,-49.503838927021675,Sim,Sim
FHV-M-0186,6510678376,71905842919,651067.8376,7190584.2919,-25.39391503358811,-49.498226214812924,Sim,Sim
FHV-M-1884,6514862519,71908874181,651486.2519,7190887.4181,-25.391136042160937,-49.49410183286711,Sim,Sim
FHV-M-2599,6510949898,71919573808,651094.9898,7191957.3808,-25.381516714214467,-49.49810976654857,Sim,Sim
FHV-M-3164,6507150314,71919699707,650715.0314,7191969.9707,-25.381441559480574,-49.50188694675239,Sim,Sim
FHV-M-3225,6507862887,71917910743,650786.2887,7191791.0743,-25.3830493376467,-49.501158899003556,Sim,Sim
FHV-M-3379,6513099796,71907751421,651309.9796,7190775.1421,-25.392167540076255,-49.49584108230355,Sim,Sim
FHV-M-3405,6513263338,71919311826,651326.3338,7191931.1826,-25.38172972912777,-49.495807894863596,Sim,Sim
FHV-M-3409,6511448508,71911937225,651144.8508,7191193.7225,-25.388405582888044,-49.497528950591715,Sim,Sim
FHV-M-3416,6513185339,71912062008,651318.5339,7191206.2008,-25.38827529242795,-49.4958043029959,Sim,Sim
FHV-M-3417,6511561417,71911932269,651156.1417,7191193.2269,-25.388408910603808,-49.49741668741362,Sim,Sim
FHV-M-3420,6513628181,71906944866,651362.8181,7190694.4866,-25.39289028445717,-49.495306933985255,Sim,Sim
FHV-M-3614,6507386833,71920634614,650738.6833,7192063.4614,-25.380595175999648,-49.50166232598607,Sim,Sim
FHV-M-3619,6507146054,71918637061,650714.6054,7191863.7061,-25.38240090897356,-49.50187934184166,Sim,Sim
FHV-M-3644,6507839103,71912273493,650783.9103,7191227.3493,-25.388138616006287,-49.5011196923457,Sim,Sim
FHV-M-3901,6507118173,71917840563,650711.8173,7191784.0563,-25.383120231662318,-49.50189817489664,Sim,Sim
FHV-M-3905,6506301316,71913931779,650630.1316,7191393.1779,-25.386657161152602,-49.50266639774213,Sim,Sim
FHV-M-3948,6505571224,71916249269,650557.1224,7191624.9269,-25.384572425159615,-49.50341774267781,Sim,Sim
FHV-M-4329,6507419021,71914372833,650741.9021,7191437.2833,-25.386247687043255,-49.5015605634151,Sim,Sim
