codigo,utm_e,utm_n,lat_calculada,lng_calculada,motivo
FHV-V-0106,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0107,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0108,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0109,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0110,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0111,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0112,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0113,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0114,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0115,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0116,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0117,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0118,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0119,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0120,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0121,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0122,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0123,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0124,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0125,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0126,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0127,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0128,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0129,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0130,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0131,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0132,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0133,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0134,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0135,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0136,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0137,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0138,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0139,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0140,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0141,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0142,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0143,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0144,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0145,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0146,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0147,49,25,-85.52655411152962,-141.23012257524763,"Latitude fora do range do Paraná"
FHV-V-0188,811893.08,7674924.31,-20.999999959018,-47.99999995338891,"Latitude fora do range do Paraná"
FHV-V-0190,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0191,811893.08,7674924.31,-20.999999959018,-47.99999995338891,"Latitude fora do range do Paraná"
FHV-V-0200,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0201,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0203,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0210,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0211,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0212,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0213,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0214,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0215,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0216,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0217,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0218,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0219,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0220,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0221,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0222,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0223,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0224,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0225,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0226,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0227,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0228,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0229,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0230,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0231,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0232,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0233,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0234,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0235,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0236,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0237,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0238,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0239,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0240,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0241,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0242,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0243,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0244,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0245,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0246,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0247,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0248,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0249,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0250,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
FHV-V-0251,48,21,-85.52654503767565,-141.23058005052732,"Latitude fora do range do Paraná"
