linha,codigo,motivo,detalhes
2,"N/A","Código ou tipo ausente",""
3,"N/A","Código ou tipo ausente",""
4,"N/A","Código ou tipo ausente",""
5,"N/A","Código ou tipo ausente",""
6,"N/A","Código ou tipo ausente",""
7,"N/A","Código ou tipo ausente",""
8,"N/A","Código ou tipo ausente",""
9,"N/A","Código ou tipo ausente",""
10,"N/A","Código ou tipo ausente",""
11,"N/A","Código ou tipo ausente",""
12,"N/A","Código ou tipo ausente",""
13,"N/A","Código ou tipo ausente",""
14,"N/A","Código ou tipo ausente",""
15,"N/A","Código ou tipo ausente",""
16,"N/A","Código ou tipo ausente",""
17,"N/A","Código ou tipo ausente",""
18,"N/A","Código ou tipo ausente",""
19,"N/A","Código ou tipo ausente",""
20,"N/A","Código ou tipo ausente",""
21,"N/A","Código ou tipo ausente",""
22,"N/A","Código ou tipo ausente",""
23,"N/A","Código ou tipo ausente",""
24,"N/A","Código ou tipo ausente",""
25,"N/A","Código ou tipo ausente",""
26,"N/A","Código ou tipo ausente",""
27,"N/A","Código ou tipo ausente",""
28,"N/A","Código ou tipo ausente",""
29,"N/A","Código ou tipo ausente",""
30,"N/A","Código ou tipo ausente",""
31,"N/A","Código ou tipo ausente",""
32,"N/A","Código ou tipo ausente",""
33,"N/A","Código ou tipo ausente",""
34,"N/A","Código ou tipo ausente",""
35,"N/A","Código ou tipo ausente",""
36,"N/A","Código ou tipo ausente",""
37,"N/A","Código ou tipo ausente",""
38,"N/A","Código ou tipo ausente",""
39,"N/A","Código ou tipo ausente",""
40,"N/A","Código ou tipo ausente",""
41,"N/A","Código ou tipo ausente",""
42,"N/A","Código ou tipo ausente",""
43,"N/A","Código ou tipo ausente",""
44,"N/A","Código ou tipo ausente",""
45,"N/A","Código ou tipo ausente",""
46,"N/A","Código ou tipo ausente",""
47,"N/A","Código ou tipo ausente",""
48,"N/A","Código ou tipo ausente",""
49,"N/A","Código ou tipo ausente",""
50,"N/A","Código ou tipo ausente",""
51,"N/A","Código ou tipo ausente",""
52,"N/A","Código ou tipo ausente",""
53,"N/A","Código ou tipo ausente",""
54,"N/A","Código ou tipo ausente",""
55,"N/A","Código ou tipo ausente",""
56,"N/A","Código ou tipo ausente",""
57,"N/A","Código ou tipo ausente",""
58,"N/A","Código ou tipo ausente",""
59,"N/A","Código ou tipo ausente",""
60,"N/A","Código ou tipo ausente",""
61,"N/A","Código ou tipo ausente",""
62,"N/A","Código ou tipo ausente",""
63,"N/A","Código ou tipo ausente",""
64,"N/A","Código ou tipo ausente",""
65,"N/A","Código ou tipo ausente",""
66,"N/A","Código ou tipo ausente",""
67,"N/A","Código ou tipo ausente",""
68,"N/A","Código ou tipo ausente",""
69,"N/A","Código ou tipo ausente",""
70,"N/A","Código ou tipo ausente",""
71,"N/A","Código ou tipo ausente",""
72,"N/A","Código ou tipo ausente",""
73,"N/A","Código ou tipo ausente",""
74,"N/A","Código ou tipo ausente",""
75,"N/A","Código ou tipo ausente",""
76,"N/A","Código ou tipo ausente",""
77,"N/A","Código ou tipo ausente",""
78,"N/A","Código ou tipo ausente",""
79,"N/A","Código ou tipo ausente",""
80,"N/A","Código ou tipo ausente",""
81,"N/A","Código ou tipo ausente",""
82,"N/A","Código ou tipo ausente",""
83,"N/A","Código ou tipo ausente",""
84,"N/A","Código ou tipo ausente",""
85,"N/A","Código ou tipo ausente",""
86,"N/A","Código ou tipo ausente",""
87,"N/A","Código ou tipo ausente",""
88,"N/A","Código ou tipo ausente",""
89,"N/A","Código ou tipo ausente",""
90,"N/A","Código ou tipo ausente",""
91,"N/A","Código ou tipo ausente",""
92,"N/A","Código ou tipo ausente",""
93,"N/A","Código ou tipo ausente",""
94,"N/A","Código ou tipo ausente",""
95,"N/A","Código ou tipo ausente",""
96,"N/A","Código ou tipo ausente",""
97,"N/A","Código ou tipo ausente",""
98,"N/A","Código ou tipo ausente",""
99,"N/A","Código ou tipo ausente",""
100,"N/A","Código ou tipo ausente",""
