id,codigo,tipo,municipio,estado,coordenada_e,coordenada_n,altitude,latitude,longitude,data_levantamento,metodo,precisao_horizontal,precisao_vertical,observacoes,status,criado_em,atualizado_em
1,FHV- P 7170,P,Pauli,PR,650773.7278,7191432.801,960910,-25.386284928672467,-49.50124378832978,,,,,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
2,FHV-M-0001,M,JUFAP,PR,639202.88,7187316.96,835.49,-25.42456931689032,-49.61581130234676,,PG6,0.01,0.01,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
3,FHV-M-0002,M,JUFAP,PR,639740.38,7187638.33,870.45,-25.421617581497426,-49.61050108683068,,PG6,0.01,0.01,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
4,FHV-M-0003,M,JUFAP,PR,639968.58,7187513.18,829.88,-25.42272595408067,-49.60821954970818,,PG6,0,0,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
5,FHV-M-0004,M,JUFAP,PR,640050.48,7187522.16,812.43,-25.422637169445977,-49.607406297617366,,PG6,0.11,0.15,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
6,FHV-M-0005,M,JUFAP,PR,640119.03,7187646.81,807.32,-25.421505382203822,-49.60673776762925,,PG6,0.01,0.01,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
7,FHV-M-0006,M,JUFAP,PR,640173.62,7187641.34,807.89,-25.421549618235286,-49.60619451567928,,PG6,0.01,0.01,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
8,FHV-M-0007,M,JUFAP,PR,640184.95,7187601.35,809.85,-25.421909575267147,-49.60607773046598,,PG6,0,0.01,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
9,FHV-M-0008,M,JUFAP,PR,640226.87,7187586.72,815.33,-25.42203769949559,-49.605659479089944,,PG6,0.01,0.01,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
10,FHV-M-0009,M,JUFAP,PR,640438.79,7187556.6,830.43,-25.422289613223946,-49.60354962284225,,PG6,0,0,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
11,FHV-M-0010,M,JUFAP,PR,640632.89,7187552.22,833.49,-25.42231080479251,-49.601619592220764,,PG6,0.01,0.01,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
12,FHV-M-0011,M,JUFAP,PR,640860.32,7187173.07,817.62,-25.42571218560359,-49.5993191152407,,PG6,0.08,0.11,,LEVANTADO,2025-10-20 17:23:50,2025-10-20 17:23:50
