ID,Código,Tipo,Latitude,Longitude,Altitude,Município,Estado,Status
2,FHV-M-0001,M,-25.42456932,-49.61581130,835.490,JUFAP,PR,LEVANTADO
3,FHV-M-0002,M,-25.42161758,-49.61050109,870.450,JUFAP,PR,LEVANTADO
4,FHV-M-0003,M,-25.42272595,-49.60821955,829.880,JUFAP,PR,LEVANTADO
5,FHV-M-0004,M,-25.42263717,-49.60740630,812.430,JUFAP,PR,LEVANTADO
6,FHV-M-0005,M,-25.42150538,-49.60673777,807.320,JUFAP,PR,LEVANTADO
7,FHV-M-0006,M,-25.42154962,-49.60619452,807.890,JUFAP,PR,LEVANTADO
8,FHV-M-0007,M,-25.42190958,-49.60607773,809.850,JUFAP,PR,LEVANTADO
9,FHV-M-0008,M,-25.42203770,-49.60565948,815.330,JUFAP,PR,LEVANTADO
10,FHV-M-0009,M,-25.42228961,-49.60354962,830.430,JUFAP,PR,LEVANTADO
11,FHV-M-0010,M,-25.42231080,-49.60161959,833.490,JUFAP,PR,LEVANTADO
12,FHV-M-0011,M,-25.42571219,-49.59931912,817.620,JUFAP,PR,LEVANTADO
13,FHV-M-0012,M,-25.43007654,-49.59808715,819.500,JUFAP,PR,LEVANTADO
14,FHV-M-0013,M,-25.43181469,-49.60312971,883.440,JUFAP,PR,LEVANTADO
15,FHV-M-0014,M,-25.43197949,-49.60331285,890.570,JUFAP,PR,LEVANTADO
16,FHV-M-0015,M,-25.43275461,-49.60541284,845.720,JUFAP/DOM RODRIGO,PR,LEVANTADO
17,FHV-M-0016,M,-25.43190214,-49.60617763,843.080,JUFAP/DOM RODRIGO,PR,LEVANTADO
18,FHV-M-0017,M,-25.43501629,-49.61115311,857.250,JUFAP/DOM RODRIGO,PR,LEVANTADO
19,FHV-M-0162,M,-25.38055631,-49.50314161,961634.000,Pauli,PR,LEVANTADO
20,FHV-M-0163,M,-25.38059615,-49.50198225,963108.000,Pauli,PR,LEVANTADO
21,FHV-M-0165,M,-25.38131153,-49.50167447,975624.000,Pauli,PR,LEVANTADO
22,FHV-M-0181,M,-25.38504168,-49.50383893,954986.000,Pauli,PR,LEVANTADO
23,FHV-M-0186,M,-25.39391503,-49.49822621,982357.000,Pauli,PR,LEVANTADO
24,FHV-M-1884,M,-25.39113604,-49.49410183,964864.000,Pauli,PR,LEVANTADO
25,FHV-M-2599,M,-25.38151671,-49.49810977,972413.000,Pauli,PR,LEVANTADO
26,FHV-M-3164,M,-25.38144156,-49.50188695,982226.000,Pauli,PR,LEVANTADO
27,FHV-M-3225,M,-25.38304934,-49.50115890,959127.000,Pauli,PR,LEVANTADO
28,FHV-M-3379,M,-25.39216754,-49.49584108,965875.000,Pauli,PR,LEVANTADO
29,FHV-M-3405,M,-25.38172973,-49.49580789,975966.000,,PR,LEVANTADO
30,FHV-M-3409,M,-25.38840558,-49.49752895,965864.000,Pauli,PR,LEVANTADO
31,FHV-M-3416,M,-25.38827529,-49.49580430,965064.000,Pauli,PR,LEVANTADO
32,FHV-M-3417,M,-25.38840891,-49.49741669,965639.000,Pauli,PR,LEVANTADO
33,FHV-M-3420,M,-25.39289028,-49.49530693,965128.000,Pauli,PR,LEVANTADO
34,FHV-M-3579,M,-25.39423919,-49.49430408,964934.000,Pauli,PR,LEVANTADO
35,FHV-M-3614,M,-25.38059518,-49.50166233,975966.000,Pauli,PR,LEVANTADO
36,FHV-M-3619,M,-25.38240091,-49.50187934,956387.000,Pauli,PR,LEVANTADO
37,FHV-M-3644,M,-25.38813862,-49.50111969,,Pauli,PR,LEVANTADO
38,FHV-M-3901,M,-25.38312023,-49.50189817,958328.000,Pauli,PR,LEVANTADO
39,FHV-M-3905,M,-25.38665716,-49.50266640,962854.000,Pauli,PR,LEVANTADO
40,FHV-M-3948,M,-25.38457242,-49.50341774,985809.000,Pauli,PR,LEVANTADO
41,FHV-M-4329,M,-25.38624769,-49.50156056,959555.000,Pauli,PR,LEVANTADO
42,FHV-P-0001,P,-25.42573290,-49.59929442,813.680,JUFAP,PR,LEVANTADO
43,FHV-P-0002,P,-25.42589059,-49.59929041,816.450,JUFAP,PR,LEVANTADO
44,FHV-P-0003,P,-25.42590370,-49.59930199,815.280,JUFAP,PR,LEVANTADO
45,FHV-P-0004,P,-25.42592306,-49.59938120,815.300,JUFAP,PR,LEVANTADO
46,FHV-P-0005,P,-25.42596327,-49.59942260,811.970,JUFAP,PR,LEVANTADO
47,FHV-P-0006,P,-25.42602408,-49.59940817,818.380,JUFAP,PR,LEVANTADO
48,FHV-P-0007,P,-25.42605804,-49.59936165,818.060,JUFAP,PR,LEVANTADO
49,FHV-P-0008,P,-25.42621289,-49.59932436,821.520,JUFAP,PR,LEVANTADO
50,FHV-P-0009,P,-25.42627525,-49.59938817,819.880,JUFAP,PR,LEVANTADO
51,FHV-P-0010,P,-25.42635556,-49.59932669,814.600,JUFAP,PR,LEVANTADO
52,FHV-P-0011,P,-25.42637144,-49.59926844,815.720,JUFAP,PR,LEVANTADO
53,FHV-P-0012,P,-25.42641522,-49.59928663,815.130,JUFAP,PR,LEVANTADO
54,FHV-P-0013,P,-25.42659281,-49.59911515,816.040,JUFAP,PR,LEVANTADO
55,FHV-P-0014,P,-25.42666988,-49.59900698,816.830,JUFAP,PR,LEVANTADO
56,FHV-P-0015,P,-25.42693528,-49.59895430,820.890,JUFAP,PR,LEVANTADO
57,FHV-P-0016,P,-25.42730481,-49.59913277,819.020,JUFAP,PR,LEVANTADO
58,FHV-P-0017,P,-25.42737459,-49.59917870,822.280,JUFAP,PR,LEVANTADO
59,FHV-P-0018,P,-25.42744437,-49.59928080,839.400,JUFAP,PR,LEVANTADO
60,FHV-P-0019,P,-25.42761719,-49.59938648,841.380,JUFAP,PR,LEVANTADO
61,FHV-P-0020,P,-25.42782186,-49.59945092,838.000,JUFAP,PR,LEVANTADO
62,FHV-P-0021,P,-25.42807183,-49.59942775,816.530,JUFAP,PR,LEVANTADO
63,FHV-P-0022,P,-25.42811035,-49.59937739,831.390,JUFAP,PR,LEVANTADO
64,FHV-P-0023,P,-25.42837669,-49.59930959,833.510,JUFAP,PR,LEVANTADO
65,FHV-P-0024,P,-25.42855371,-49.59930525,817.600,JUFAP,PR,LEVANTADO
66,FHV-P-0025,P,-25.42858445,-49.59936674,826.160,JUFAP,PR,LEVANTADO
67,FHV-P-0026,P,-25.42871972,-49.59921763,817.730,JUFAP,PR,LEVANTADO
68,FHV-P-0027,P,-25.42882333,-49.59918511,822.840,JUFAP,PR,LEVANTADO
69,FHV-P-0028,P,-25.42897538,-49.59885335,820.710,JUFAP,PR,LEVANTADO
70,FHV-P-0029,P,-25.42921549,-49.59867747,824.560,JUFAP,PR,LEVANTADO
71,FHV-P-0030,P,-25.42951049,-49.59850026,822.400,JUFAP,PR,LEVANTADO
72,FHV-P-0031,P,-25.42996086,-49.59815083,822.740,JUFAP,PR,LEVANTADO
73,FHV-P-0286,P,-25.38059673,-49.50210693,962643.000,Pauli,PR,LEVANTADO
74,FHV-P-0287,P,-25.38163425,-49.50278844,964872.000,Pauli,PR,LEVANTADO
75,FHV-P-0288,P,-25.38155583,-49.50259792,968581.000,Pauli,PR,LEVANTADO
76,FHV-P-0289,P,-25.38149332,-49.50230877,970185.000,Pauli,PR,LEVANTADO
77,FHV-P-0290,P,-25.38139895,-49.50189877,973074.000,Pauli,PR,LEVANTADO
78,FHV-P-0291,P,-25.38137953,-49.50181437,973451.000,Pauli,PR,LEVANTADO
79,FHV-P-0292,P,-25.38079779,-49.50189500,970124.000,Pauli,PR,LEVANTADO
80,FHV-P-0293,P,-25.38113996,-49.50174864,971854.000,Pauli,PR,LEVANTADO
81,FHV-P-0294,P,-25.38142108,-49.50179794,982368.000,Pauli,PR,LEVANTADO
82,FHV-P-0295,P,-25.38137224,-49.50164820,981963.000,Pauli,PR,LEVANTADO
83,FHV-P-0296,P,-25.38145349,-49.50161305,980098.000,Pauli,PR,LEVANTADO
84,FHV-P-0297,P,-25.38210804,-49.50133361,978016.000,Pauli,PR,LEVANTADO
85,FHV-P-0298,P,-25.38240991,-49.50120721,977741.000,Pauli,PR,LEVANTADO
86,FHV-P-0299,P,-25.38259392,-49.50114730,976451.000,Pauli,PR,LEVANTADO
87,FHV-P-0300,P,-25.38275696,-49.50112693,973124.000,Pauli,PR,LEVANTADO
88,FHV-P-0301,P,-25.38299696,-49.50114916,961674.000,Pauli,PR,LEVANTADO
89,FHV-P-0302,P,-25.38177543,-49.50147567,979651.000,Pauli,PR,LEVANTADO
90,FHV-P-0304,P,-25.38069920,-49.50161731,961354.000,Pauli,PR,LEVANTADO
91,FHV-P-0305,P,-25.38104139,-49.50147095,962278.000,Pauli,PR,LEVANTADO
92,FHV-P-0306,P,-25.38167746,-49.50119772,963018.000,Pauli,PR,LEVANTADO
93,FHV-P-0307,P,-25.38232323,-49.50092452,962398.000,Pauli,PR,LEVANTADO
94,FHV-P-0308,P,-25.38253983,-49.50085400,963247.000,Pauli,PR,LEVANTADO
95,FHV-P-0309,P,-25.38275301,-49.50082737,963429.000,Pauli,PR,LEVANTADO
